"filename", "language", "JavaScript", "CSS", "XML", "Excel", "JSON", "comment", "blank", "total"
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\data\AnodeSubstrate.xlsx", "Excel", 0, 0, 0, 75, 0, 0, 0, 75
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\data\CathodeProduct.xlsx", "Excel", 0, 0, 0, 51, 0, 0, 1, 52
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\hoc\Layout\Layout.js", "JavaScript", 14, 0, 0, 0, 0, 0, 2, 16
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\hoc\Layout\Layout.module.css", "CSS", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\hoc\MyMobileView\MyMobileView.js", "JavaScript", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\hoc\MyMobileView\MyMobileView.module.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 7
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\index.css", "CSS", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\index.js", "JavaScript", 15, 0, 0, 0, 0, 3, 3, 21
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\logo.svg", "XML", 0, 0, 7, 0, 0, 0, 1, 8
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\serviceWorker.js", "JavaScript", 98, 0, 0, 0, 0, 31, 13, 142
"c:\Sohum\CodeHome\Javascript\TESSARAC\tesarrecWithoutCODWithHeatMapgithub\src\setupTests.js", "JavaScript", 5, 0, 0, 0, 0, 4, 0, 9
"Total", "-", 4978, 526, 7, 126, 130, 359, 896, 7022
